@RELATION bad_actors 
 @ATTRIBUTE author_guid string 
 @ATTRIBUTE ClaimFeatureGenerator_claim_type {False,True} 
 @ATTRIBUTE NetworkxFeatureGenerator_average_clustering numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_density numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_betweenness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_closeness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_communicability_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_degree numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_eigenvector_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_katz_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_load_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_betweenness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_closeness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_communicability_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_degree numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_eigenvector_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_katz_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_load_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_betweenness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_closeness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_communicability_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_degree numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_eigenvector_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_katz_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_load_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_betweenness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_closeness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_communicability_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_degree numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_eigenvector_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_katz_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_load_centrality numeric 
  @DATA 
1f18f6d1-ece9-37ab-8ac3-3cec9ebe415c, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
1f1b9b93-1429-3e8d-a53b-e3a2289cf744, False, 0.0, 0.00302319125848538, 0.333696191508106, 0.307411100033234, 1936740.52577651, 230, -1, -1, 0.333696191508106, 0.0, 0.115301028842489, 4.31581666971305, 1.0, -1.0, -1.0, 0.0, 0.0, 0.00158982511923688, 1.54308063481524, 1, -1, -1, 0.0, 0.015001846626666, 0.085255463176795, 77084.0450761967, 9.48046432563722, 0.0, 0.0, 0.015001846626666 
1f2cc7c7-6161-3311-a16d-c2e75eb8d7c4, True, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
1f300891-329d-3b61-be84-b3df54b76aa9, False, 0.0, 0.00691415806829061, 0.0154115711935922, 0.111690245718541, 90.7004592845668, 27, -1, 0.243307050990966, 0.0154115711935922, 0.0, 0.0174402250351617, 2.16379197793821, 1.0, -1.0, 0.0583956904251159, 0.0, 0.0, 0.00421940928270042, 1.54308063481524, 1, -1, 0.05298868205242, 0.0, 0.00140775628471166, 0.0212101662127499, 7.06991552424038, 2.60649187086596, 0.0, 0.0180953431556086, 0.00140775628471166 
20ac6e8c-7d64-32c6-a66c-a741c5852282, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
21f86a36-3e7c-39cd-8f85-69dde962e786, False, 0.0, 0.0114862513052558, 0.620703014933784, 0.417354528760364, 1166.18996379658, 60, -1, 0.484154112697483, 0.620703014933784, 0.0, 0.257019487788718, 13.086891825254, 1.0, -1.0, 0.0626207749469705, 0.0, 0.0, 0.00788954635108481, 1.58909177830429, 1, -1, 0.0297187439825785, 0.0, 0.0662373631373831, 0.0846158996652864, 99.7728720763297, 5.99873112303804, 0.0, 0.0443303757103539, 0.0662373631373831 
23065933-da47-3c33-ac8e-50a8b852b60f, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
2321732e-9c9d-3647-ad72-03090610f4eb, False, 0.0, 0.00497872340425532, 0.0965276292335116, 0.0968471177944862, 123.970684071276, 30, -1, 0.202183889978817, 0.0965276292335116, 0.0, 0.0366792452830189, 2.91457744017592, 1.0, -1.0, 0.0455590574680014, 0.0, 0.0, 0.00266666666666667, 1.54308063481524, 1, -1, 0.0372240974510892, 0.0, 0.0101949717615571, 0.0242727119174954, 10.9711994785272, 3.53528981922703, 0.0, 0.0176733652963444, 0.0101949717615571 
2412648e-14d3-3229-87c7-5f3faf8244af, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
248726b2-f103-34e4-ab36-121420b96184, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
