@RELATION bad_actors 
 @ATTRIBUTE author_guid string 
 @ATTRIBUTE ClaimFeatureGenerator_claim_type numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_friends_followers_ratio numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_verified numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_verified numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_verified numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_friends_followers_ratio numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_verified numeric 
  @DATA 
1ecdfc4a-7f4d-3697-87e4-339a61e0531b, False, 2.11554309362715, 11992, 7838, 1180, 171, 0, 31492, 700, 195950, 217487, 9458, 4643, 0, 199357, 1, 0, 1, 0, 0, 0, 15, 0, 3.55901041810692, 35629.0740290157, 35142.2153277466, 1969.41275077299, 750.646481539983, 0.0, 37660.7313835615, 701 
1ed4f5a4-ddc4-3a25-81b6-9602ff48fdce, False, 5.36505791265367, 18174, 47469, 2248, 396, 0, 47290, 700, 193570, 1686827, 30901, 10386, 0, 443329, 1, 0, 1, 1, 0, 0, 234, 0, 18.8531037402679, 35567.1970081085, 258174.093434852, 5022.84522363467, 1711.69752769111, 0.0, 79334.7649934274, 701 
1ed731ad-3c9f-3e5e-98f3-fc9e0f01d012, False, 1.90902010443535, 4602, 22108, 817, 154, 0, 30863, 700, 22084, 344767, 4179, 2215, 0, 147329, 1, 0, 10, 0, 0, 0, 446, 0, 1.93428757135551, 6483.40933381842, 83312.3070428889, 1047.33744077243, 532.927762459416, 0.0, 44653.1085196187, 701 
1f18f6d1-ece9-37ab-8ac3-3cec9ebe415c, False, 1.9307437132384, 16161, 2131, 2101, 20, 0, 21604, 700, 153963, 36864, 25595, 189, 0, 185515, 0, 0, 1, 0, 0, 0, 2, 0, 1.78221352190671, 29918.2590039235, 5869.69608661895, 4456.59724726584, 36.6201911400619, 0.0, 38269.6503385819, 701 
1f1b9b93-1429-3e8d-a53b-e3a2289cf744, False, 1.01649017671251, 12139, 2729, 2284, 619, 0, 136900, 700, 53761, 10487, 10710, 6503, 0, 585436, 0, 0, 34, 23, 6, 0, 1199, 0, 0.82806566588832, 17184.5475496884, 2673.42350320708, 2751.7245846923, 1413.68686065904, 0.0, 152770.386249193, 701 
1f2cc7c7-6161-3311-a16d-c2e75eb8d7c4, True, 2.97513824825614, 25322, 2166, 1467, 36, 0, 20884, 700, 318974, 25968, 13622, 419, 0, 118184, 1, 0, 0, 0, 0, 0, 29, 0, 5.47901698851134, 57667.7405502545, 4413.55550505022, 2649.12482869809, 80.3571417684586, 0.0, 30680.5629447481, 701 
1f300891-329d-3b61-be84-b3df54b76aa9, False, 1.93132071193829, 4094, 14904, 1666, 344, 0, 75212, 700, 28509, 217487, 20641, 4643, 0, 954530, 1, 0, 15, 3, 0, 0, 12, 0, 3.86725359161945, 7434.23536670047, 47359.1601471933, 4405.7615854129, 1038.04433431333, 0.0, 204500.892932916, 701 
20ac6e8c-7d64-32c6-a66c-a741c5852282, False, 2.64643477410695, 14871, 7837, 2804, 212, 0, 95768, 700, 121188, 79125, 22557, 2599, 0, 918496, 1, 0, 1, 16, 0, 0, 1689, 0, 7.46127340921979, 31499.9116389425, 18791.0355029645, 4486.82980073571, 491.58197134084, 0.0, 190945.489906817, 701 
21f86a36-3e7c-39cd-8f85-69dde962e786, False, 2.59281692305963, 6138, 2443, 909, 34, 0, 41724, 700, 67121, 98145, 12636, 624, 0, 442852, 1, 0, 2, 0, 0, 0, 6, 0, 8.58178657891026, 10362.5252525429, 8884.44805650264, 1490.79883597509, 86.0900807025939, 0.0, 65892.4571642193, 701 
23065933-da47-3c33-ac8e-50a8b852b60f, False, 1.96737499625737, 3502, 13883, 1719, 297, 0, 73482, 700, 29413, 217487, 9881, 4643, 0, 525527, 1, 0, 11, 27, 0, 0, 707, 0, 3.21940699585905, 7201.39636906615, 45814.7287301451, 2514.91193319886, 982.051028318907, 0.0, 133700.217887163, 701 
