topic_number,buckets,authors,posts,post_author_ratio
49,0.6,2,2,1.0
49,0.7,2,2,1.0
49,0.8,0,0,-1.0
49,0.9,0,0,-1.0
49,1.0,0,0,-1.0
50,0.1,11,11,1.0
50,0.2,9,10,1.1111111111111112
50,0.3,7,7,1.0
50,0.4,3,5,1.6666666666666667
50,0.5,0,0,-1.0
50,0.6,1,3,3.0
50,0.7,0,0,-1.0
50,0.8,1,1,1.0
50,0.9,0,0,-1.0
50,1.0,0,0,-1.0
51,0.1,5,6,1.2
51,0.2,3,3,1.0
51,0.3,2,2,1.0
51,0.4,0,0,-1.0
51,0.5,0,0,-1.0
51,0.6,1,1,1.0
51,0.7,5,5,1.0
51,0.8,4,4,1.0
51,0.9,0,0,-1.0
51,1.0,0,0,-1.0
52,0.1,11,11,1.0
52,0.2,10,10,1.0
52,0.3,5,5,1.0
52,0.4,3,3,1.0
52,0.5,5,5,1.0
52,0.6,1,2,2.0
52,0.7,2,3,1.5
52,0.8,0,0,-1.0
52,0.9,0,0,-1.0
52,1.0,0,0,-1.0
53,0.1,5,5,1.0
53,0.2,9,9,1.0
53,0.3,1,1,1.0
53,0.4,4,5,1.25
53,0.5,1,1,1.0
53,0.6,0,0,-1.0
53,0.7,0,0,-1.0
53,0.8,0,0,-1.0
53,0.9,0,0,-1.0
53,1.0,0,0,-1.0
54,0.1,9,9,1.0
54,0.2,1,1,1.0
54,0.3,3,3,1.0
54,0.4,5,5,1.0
54,0.5,1,1,1.0
54,0.6,2,2,1.0
54,0.7,1,1,1.0
54,0.8,3,3,1.0
54,0.9,0,0,-1.0
54,1.0,0,0,-1.0
55,0.1,7,7,1.0
55,0.2,5,5,1.0
55,0.3,6,6,1.0
55,0.4,0,0,-1.0
55,0.5,1,1,1.0
55,0.6,0,0,-1.0
55,0.7,1,1,1.0
55,0.8,0,0,-1.0
55,0.9,0,0,-1.0
55,1.0,0,0,-1.0
56,0.1,17,17,1.0
56,0.2,15,15,1.0
56,0.3,2,2,1.0
56,0.4,3,3,1.0
56,0.5,3,5,1.6666666666666667
56,0.6,0,0,-1.0
56,0.7,1,1,1.0
56,0.8,0,0,-1.0
56,0.9,0,0,-1.0
56,1.0,0,0,-1.0
57,0.1,6,6,1.0
57,0.2,5,5,1.0
57,0.3,9,10,1.1111111111111112
57,0.4,1,1,1.0
57,0.5,1,1,1.0
57,0.6,1,1,1.0
57,0.7,0,0,-1.0
57,0.8,0,0,-1.0
57,0.9,0,0,-1.0
57,1.0,0,0,-1.0
58,0.1,15,15,1.0
58,0.2,9,9,1.0
58,0.3,4,5,1.25
58,0.4,4,4,1.0
58,0.5,0,0,-1.0
58,0.6,0,0,-1.0
58,0.7,0,0,-1.0
58,0.8,0,0,-1.0
58,0.9,0,0,-1.0
58,1.0,0,0,-1.0
59,0.1,12,12,1.0
59,0.2,11,12,1.0909090909090908
59,0.3,11,11,1.0
59,0.4,13,13,1.0
59,0.5,2,2,1.0
59,0.6,1,1,1.0
59,0.7,1,1,1.0
59,0.8,0,0,-1.0
59,0.9,0,0,-1.0
59,1.0,0,0,-1.0
60,0.1,12,12,1.0
60,0.2,5,5,1.0
60,0.3,5,5,1.0
60,0.4,7,7,1.0
60,0.5,0,0,-1.0
60,0.6,3,4,1.3333333333333333
60,0.7,3,3,1.0
60,0.8,1,1,1.0
60,0.9,1,3,3.0
60,1.0,0,0,-1.0
61,0.1,14,14,1.0
61,0.2,10,10,1.0
61,0.3,10,10,1.0
61,0.4,4,4,1.0
61,0.5,1,1,1.0
61,0.6,1,1,1.0
61,0.7,0,0,-1.0
61,0.8,0,0,-1.0
61,0.9,0,0,-1.0
61,1.0,0,0,-1.0
62,0.1,13,13,1.0
62,0.2,12,13,1.0833333333333333
62,0.3,5,5,1.0
62,0.4,3,3,1.0
62,0.5,1,1,1.0
62,0.6,3,3,1.0
62,0.7,0,0,-1.0
62,0.8,0,0,-1.0
62,0.9,0,0,-1.0
62,1.0,0,0,-1.0
63,0.1,3,3,1.0
63,0.2,1,1,1.0
63,0.3,0,0,-1.0
63,0.4,1,1,1.0
63,0.5,1,1,1.0
63,0.6,0,0,-1.0
63,0.7,1,1,1.0
63,0.8,1,1,1.0
63,0.9,0,0,-1.0
63,1.0,0,0,-1.0
64,0.1,4,4,1.0
64,0.2,1,1,1.0
64,0.3,1,1,1.0
64,0.4,0,0,-1.0
64,0.5,2,2,1.0
64,0.6,1,1,1.0
64,0.7,1,1,1.0
64,0.8,1,1,1.0
64,0.9,1,3,3.0
64,1.0,0,0,-1.0
65,0.1,7,7,1.0
65,0.2,5,5,1.0
65,0.3,5,5,1.0
65,0.4,4,6,1.5
65,0.5,2,2,1.0
65,0.6,0,0,-1.0
65,0.7,1,1,1.0
65,0.8,0,0,-1.0
65,0.9,0,0,-1.0
65,1.0,0,0,-1.0
66,0.1,4,4,1.0
66,0.2,7,7,1.0
66,0.3,6,7,1.1666666666666667
66,0.4,9,13,1.4444444444444444
66,0.5,1,1,1.0
66,0.6,2,5,2.5
66,0.7,1,1,1.0
66,0.8,0,0,-1.0
66,0.9,0,0,-1.0
66,1.0,0,0,-1.0
67,0.1,0,0,-1.0
67,0.2,1,1,1.0
67,0.3,2,2,1.0
67,0.4,6,6,1.0
67,0.5,1,1,1.0
67,0.6,1,1,1.0
67,0.7,1,1,1.0
67,0.8,1,1,1.0
67,0.9,2,2,1.0
67,1.0,0,0,-1.0
68,0.1,5,5,1.0
68,0.2,4,4,1.0
68,0.3,0,0,-1.0
68,0.4,0,0,-1.0
68,0.5,0,0,-1.0
68,0.6,0,0,-1.0
68,0.7,0,0,-1.0
68,0.8,1,1,1.0
68,0.9,0,0,-1.0
68,1.0,0,0,-1.0
69,0.1,8,8,1.0
69,0.2,7,7,1.0
69,0.3,7,7,1.0
69,0.4,1,1,1.0
69,0.5,0,0,-1.0
69,0.6,1,1,1.0
69,0.7,0,0,-1.0
69,0.8,1,2,2.0
69,0.9,0,0,-1.0
69,1.0,0,0,-1.0
70,0.1,9,9,1.0
70,0.2,4,4,1.0
70,0.3,10,12,1.2
70,0.4,3,3,1.0
70,0.5,1,9,9.0
70,0.6,1,1,1.0
70,0.7,1,1,1.0
70,0.8,1,1,1.0
70,0.9,1,1,1.0
70,1.0,0,0,-1.0
71,0.1,11,12,1.0909090909090908
71,0.2,5,5,1.0
71,0.3,3,3,1.0
71,0.4,2,2,1.0
71,0.5,3,3,1.0
71,0.6,1,1,1.0
71,0.7,4,4,1.0
71,0.8,3,3,1.0
71,0.9,1,1,1.0
71,1.0,0,0,-1.0
72,0.1,8,8,1.0
72,0.2,5,5,1.0
72,0.3,2,2,1.0
72,0.4,1,1,1.0
72,0.5,2,2,1.0
72,0.6,1,1,1.0
72,0.7,1,1,1.0
72,0.8,0,0,-1.0
72,0.9,0,0,-1.0
72,1.0,0,0,-1.0
73,0.1,21,21,1.0
73,0.2,8,10,1.25
73,0.3,11,11,1.0
73,0.4,10,12,1.2
73,0.5,4,4,1.0
73,0.6,2,2,1.0
73,0.7,0,0,-1.0
73,0.8,0,0,-1.0
73,0.9,0,0,-1.0
73,1.0,0,0,-1.0
74,0.1,14,14,1.0
74,0.2,6,6,1.0
74,0.3,5,5,1.0
74,0.4,4,5,1.25
74,0.5,2,2,1.0
74,0.6,1,1,1.0
74,0.7,0,0,-1.0
74,0.8,0,0,-1.0
74,0.9,0,0,-1.0
74,1.0,0,0,-1.0
75,0.1,0,0,-1.0
75,0.2,0,0,-1.0
75,0.3,0,0,-1.0
75,0.4,0,0,-1.0
75,0.5,1,1,1.0
75,0.6,1,1,1.0
75,0.7,2,2,1.0
75,0.8,4,4,1.0
75,0.9,0,0,-1.0
75,1.0,0,0,-1.0
76,0.1,10,10,1.0
76,0.2,4,4,1.0
76,0.3,13,13,1.0
76,0.4,4,4,1.0
76,0.5,3,3,1.0
76,0.6,0,0,-1.0
76,0.7,0,0,-1.0
76,0.8,0,0,-1.0
76,0.9,0,0,-1.0
76,1.0,0,0,-1.0
77,0.1,16,16,1.0
77,0.2,5,5,1.0
77,0.3,15,15,1.0
77,0.4,5,5,1.0
77,0.5,3,3,1.0
77,0.6,1,1,1.0
77,0.7,0,0,-1.0
77,0.8,0,0,-1.0
77,0.9,1,1,1.0
77,1.0,0,0,-1.0
78,0.1,9,9,1.0
78,0.2,3,3,1.0
78,0.3,6,7,1.1666666666666667
78,0.4,4,4,1.0
78,0.5,2,2,1.0
78,0.6,2,2,1.0
